SKIP;Saltar
CREDITS;Autores
PRODUCTION;Production
GAME_DESIGN;Diseño de juego
ART;Arte
SOUND_MUSIC;Música y sonido
BUSTED;¡Estás pillado!
WELL_DONE;¡Bien hecho!

KEY_TODAY;-----------/nDoor key/ntoday:/n%s/n-----------
README;use arrows/nto select/ndifferent/nfiles

HELP_CAMERA;Si te quedas sin mover/nen la sombra - serás/ninvisible para las cámaras/n los guardas de seguridad./nTrata de pasar/nde lado esta cámara/nde entrenamiento./nMuevete
HELP_CAMERA2;mediante
HELP_CAMERA3;o
HELP_CAMERA4;para
HELP_CAMERA5;cerrar esta nota.

HELP_DOOR_COODE;Código de puerta:
HELP_DOOR_COODE1;Algunas puertas tienen/nuna cerradura con un código.  
HELP_DOOR_COODE2;Haz clic
HELP_DOOR_COODE3;en la barra de la consola/ny escribe el código:

HELP_LASER;La puerta del laser/nactiva la alarma./nPara desactivarla/nes necesario/ncortar el cable/ncorrecto en la/nparte inferior del/ncuadro de distribución

HELP_ROBOT;Este robot de/nentrenamiento que imita
HELP_ROBOT1;al guarda de seguridad.
HELP_ROBOT2;Haz
HELP_ROBOT3;clic para
HELP_ROBOT4;golpearlo con el bate

HELP_DOG;Los perros son unos/nenemigos peligrosos.
HELP_DOG2;La mejor manera/nde deshacerse/nde ellos es golpearlos/npor detrás.

HELP_COMPUTER;A veces el código de la/npuerta puede estar/noculto en los archivos/nde la computadora.
HELP_COMPUTER2;¡Comprueba por aquí!

HELP_SECURITY;El guarda parece un/ntipo duro! Ni se te/nocurra a aturdirle/ncon el bate,/nsimplemente corre/ny escóndete.


TUT2;Usa las flechas
TUT2_2;para controlar a Bob
TUT3;Pulsa
TUT3_2;la flecha para/n comprobar  por si el /nescondite tiene algo
TUT6;Pulsa
TUT6_2;para entrar en la puerta
TUT7;Haz clic
TUT7_2;aquí para leer la nota
TUT8;Haz clic en
TUT8_2;la flecha para abrir la/ncerradura con llavín
TUT9;para ajustar el/nposition, la flecha
TUT9_2;y
TUT9_3;para abrir
TUT12;y
TUT12_2;para seleccionar el/ncable. Haz clic en los/nalicates cortantes para/ncortarlo el alambre
TUT13;Pulsa
TUT13_2;para finalizar
TUT14;Necesitas obtener/nuna habilidad/nespecial en la/ntienda para abrir/nlas cerraduras/nde oro.
TUT15;Utiliza
TUT15_2; para mover a Bob /npor las escaleras
TUT_CAMERA;Wait in the shadow/nuntil camera turns/naway
TUT_CAMERA2;Camera also cannot/nsee you when you/nstand under it

CONTINUE;Continuar
LEVELS_MAP;Mapa de niveles
MORE_GAMES;Más juegos
PAUSE;Pausa

BACK;Volver
BACK_TO_GAME;Volver al juego
CLEAR_PROGRESS;Limpiar lo avanzado
CLEAR_PROGRESS2;Limpiar/nlo avanzado
CLEAR_PROGRESS_TEXT;Do you really want/nto clear the/nprogress and start/nfrom the beginning?

SKILLS;Skills
BUY;Comprar
MONEY;Dinero:
ADVANSED_PICKLOCK;Ganzúa mejorada
ADVANSED_PICKLOCK2;Abre las cerraduras de oro!
RUNNER;Corredor
RUNNER2;Muévete rápido!
LUCKY_BEGGAR;Lucky Beggar
LUCKY_BEGGAR2;Even more loot! 
STING_LIKE_A_BEE;Pica como una abeja!
