
SKIP;スキップ
CREDITS;クレジット
PRODUCTION;Production
GAME_DESIGN;Game Design
ART;Art
SOUND_MUSIC;Sound & music
BUSTED;失敗！
WELL_DONE;成功！
KEY_TODAY;-----------/n/n暗証番号/n%s/n-----------
README;矢印で/nファイルを/n選択
HELP_CAMERA;影に隠れて/n動かなければ/nカメラや警備員に/n見つからない/nカメラの真下も/nカメラからは死角だ
HELP_CAMERA2;左
HELP_CAMERA3;もしくは
HELP_CAMERA4;右で
HELP_CAMERA5;メモを閉じる
HELP_DOOR_COODE;暗証番号
HELP_DOOR_COODE1;ロックされている時は/n入力パネルの前で
HELP_DOOR_COODE2;タップする
HELP_DOOR_COODE3;入力パネルに/n番号を入力
HELP_LASER;上のレーザーを/n解除する装置は/nこの階にある/n装置を探しだし/n解除して進め
HELP_ROBOT;これは警備員/nロボットだ
HELP_ROBOT1;訓練用だ
HELP_ROBOT2;操作
HELP_ROBOT3;バットで
HELP_ROBOT4;気絶させるんだ
HELP_DOG;犬に見つかったら/n終わりだ
HELP_DOG2;後ろからバットで/n気絶させるんだ
HELP_COMPUTER;暗証番号は/nパソコンの中にある
HELP_COMPUTER2;ファイルを調べろ！
HELP_SECURITY;この警備員に/nバットは効かない/nとにかく走って/n隠れるんだ
TUT2;矢印を使って
TUT2_2;ボブを移動
TUT3;操作
TUT3_2;宝がないか/n調べて盗む
TUT6;操作
TUT6_2;部屋を移動
TUT7;操作
TUT7_2;メモを読む
TUT8;操作
TUT8_2;カギを開ける
TUT9;左右に位置を/n調整するには
TUT9_2;か
TUT9_3;タップで解除
TUT12;と
TUT12_2;で、正しい/nワイヤーを選び/nペンチで切断
TUT13;タップで
TUT13_2;実行する
TUT14;カギを開けるには/nショップで/nアイテムを/nゲットせよ
TUT15;操作
TUT15_2;ボブがはしごを/n上り下りする
TUT_CAMERA;カメラが向きを/n変えるまで/n影で待て
TUT_CAMERA2;カメラの真下も/nカメラからは/n見えない
CONTINUE;再開する
LEVELS_MAP;マップへ
MORE_GAMES;More games
PAUSE;ポーズ
BACK;戻る
BACK_TO_GAME;閉じる
CLEAR_PROGRESS;削除する
CLEAR_PROGRESS2;データ/n削除
CLEAR_PROGRESS_TEXT;セーブデータを/n削除しますか？
SKILLS;スキル
BUY;購入
MONEY;お金：
ADVANSED_PICKLOCK;特殊な道具
ADVANSED_PICKLOCK2;ゴールドのカギを解除する
RUNNER;ランナー
RUNNER2;速く移動する
LUCKY_BEGGAR;幸運のお守り
LUCKY_BEGGAR2;戦利品を大幅増量
STING_LIKE_A_BEE;強い力
STING_LIKE_A_BEE2;最強の警備員も倒す
NINJA;ニンジャ
NINJA2;影で動いても見つからない
TOTAL;合計：
GAME_SCORE;ゲームスコア
MAIN_MENU;メインメニュー
START1;（ボブ宅にて）おや、何の音だ？
EVIDENCE1;誰かが何かを置いていったようだな。
FINISH1;誰かが失踪事件の調査を頼みたいらしいな。
START_LEVEL2;「クライム新聞」のオフィスか。/n資料を調べるとしよう。
EVIDENCE2;このジャーナリストの調査を/nやめさせたい奴がいたようだ。でもなぜ？
FINISH2;記者の家に行ってみるとするか！
START_LEVEL3;記者の家だな。/n何か収穫があるはずだ。
EVIDENCE3;興味深い写真だな。助けになりそうだ。
FINISH3;ひどい地区にある建物だな。/nこんなところにいったい何を隠しているんだ？
START4;いったいいつから、警察は詐欺師と/n取引しているんだ？
EVIDENCE4;警察署長が失踪事件に関わっていたとは！/n予想外の展開だ！
FINISH_LEVEL4;そろそろ警察署を調べるとするか。
START_LEVEL5;仕え、守るだと？
EVIDENCE5;レスター逮捕で、署長は大出世したようだな！
FINISH5;刑務所に行ってみるかな。
START6;レスターに大好物のクッキーを持っていけば/n何か話してくれるだろう。
START_LEVEL6;おっと、これはタフな仕事になりそうだ。
EVIDENCE6;署長はドン・カルマーノとグルだったのか！/nおもしろくなってきたぞ！
START7;さあ、行くんだ、カルマーノ。/n私はちょっと調べさせてもらおう。
START_LEVEL7;ここで何が見つかるかな？/nおもしろいものが見つかるはずだ！
EVIDENCE7;信じられん！我々の市長も/nポーカーを楽しむとはな！
START8;市長は趣味がいい！/nなぜこんな大きな家に隠れているんだ？
EVIDENCE8;銀行の貸金庫のカギのようだな！
START_LEVEL9;事件が解明されてきたぞ！急げ！
EVIDENCE9;おやおや！この証拠で懲役10年は確定だろう。/nさあ、脱出だ！
FINISH9;今年は私が検事に早めのクリスマス/nプレゼントを贈ることにしよう！
FINISH9_2;さあ、これで奴らは報いを受けた/nこの町の事件は解決した！
FINISH9_3;しかし何か大事件の始まりのように感じるのは/nなぜなんだ？
COMICS1;幼い頃からボブは自分の運命を知っていた
COMICS2;何年も腕を磨いてきた
COMICS3;常に貧しき者の味方だった
COMICS4;そして、ついに使命を見つけた
COMICS5;彼の聖戦がいま始まった
ERROR_TIME;通信エラーが発生しました。/n電波状況の良い環境で/nご利用ください。
